name,id,health,mass
### MEDIUM CUBES ###,,,
T1 Cube Medium,227205318,2100,10
T1 Edge Medium,227917916,2100,10
T1 Corner Medium,1931676396,2100,10
T1 Inner Medium,3559488176,2100,10
T1 Edge Round Medium,447126572,2100,10
T1 Corner Round Medium,2589418111,2100,10
T1 Inner Round Medium,1837286858,2100,10
T1 Edge Slope Medium,1538778047,2100,10
T1 Corner Slope Medium,557016830,2100,10
T1 Inner Slope Medium,495400745,2100,10
T1 Cone Medium,1352234106,2100,10
T1 Pyramid Medium,2686602224,2100,10
T1 Cube Medium with C6 Logo,3367514907,2100,10
T1 Cube Medium with CARBON Letters,2392661891,2100,10
T1 Cube Cardboard,2077855120,2100,10
T1 Edge Cardboard,348383505,2100,10
### HEAVY CUBES ###,,,
T2 Cube Heavy,123901970,2800,70
T2 Edge Heavy,1225928721,2800,70
T2 Corner Heavy,222074329,2800,70
T2 Inner Heavy,2577871627,2800,70
T2 Edge Round Heavy,368051733,2800,70
T2 Corner Round Heavy,2148353926,2800,70
T2 Inner Round Heavy,665761850,2800,70
T2 Edge Slope Heavy,1334508924,2800,70
T2 Corner Slope Heavy,3665280239,2800,70
T2 Inner Slope Heavy,2111062867,2800,70
T2 Cone Heavy,3886136035,2800,70
T2 Pyramid Heavy,4184274974,2800,70
### LIGHT CUBES ###,,,
T2 Cube Light,1972224393,1500,0.8
T2 Edge Light,4157111053,1500,0.8
T2 Corner Light,1347255791,1500,0.8
T2 Inner Light,1941682825,1500,0.8
T2 Edge Round Light,1993583577,1500,0.8
T2 Corner Round Light,582052348,1500,0.8
T2 Inner Round Light,1578378954,1500,0.8
T2 Edge Slope Light,3093572869,1500,0.8
T2 Corner Slope Light,3959877408,1500,0.8
T2 Inner Slope Light,2426642454,1500,0.8
T2 Cone Light,1422041599,1500,0.8
T2 Pyramid Light,885415789,1500,0.8
### COMPACT CUBES ###,,,
T5 Compact Cube,1576857358,4500,2.5
T5 Compact Edge,327960333,4500,2.5
T5 Compact Corner,126353766,4500,2.5
T5 Compact Inner,2378018821,4500,2.5
T5 Compact Edge Round,676446887,4500,2.5
T5 Compact Corner Round,1728084091,4500,2.5
T5 Compact Inner Round,925214026,4500,2.5
T5 Compact Edge Slope,1915435470,4500,2.5
T5 Compact Corner Slope,1881278783,4500,2.5
T5 Compact Inner Slope,1834966563,4500,2.5
T5 Compact Cone,1979640496,4500,2.5
T5 Compact Pyramid,979123471,4500,2.5
### GLASS CUBES ###,,,
T1 Glass Cube,3327812742,2100,10
T1 Glass Edge,4235300269,2100,10
T1 Glass Corner,1094997616,2100,10
T1 Glass Inner,445857183,2100,10
T1 Glass Edge Round,3629216992,2100,10
T1 Glass Corner Round,2380494106,2100,10
T1 Glass Inner Round,3066776961,2100,10
### NEON CUBES ###,,,
T1 Neon Cube,150161008,2100,10
T1 Neon Edge,1183051379,2100,10
T1 Neon Corner,2333317284,2100,10
T1 Neon Inner,1616217456,2100,10
T1 Neon Edge Round,2623263862,2100,10
T1 Neon Corner Round,3195590950,2100,10
